date,year,month,month_num,country,visitors
2002-10-01,2002.0,Oct,10,Canada,157.0
2002-10-01,2002.0,Oct,10,Denmark,1475.0
2002-10-01,2002.0,Oct,10,Finland,465.0
2002-10-01,2002.0,Oct,10,France,408.0
2002-10-01,2002.0,Oct,10,Germany,811.0
2002-10-01,2002.0,Oct,10,Italy,109.0
2002-10-01,2002.0,Oct,10,Japan,162.0
2002-10-01,2002.0,Oct,10,Netherlands,563.0
2002-10-01,2002.0,Oct,10,Norway,1624.0
2002-10-01,2002.0,Oct,10,Other,1844.0
2002-10-01,2002.0,Oct,10,Spain,69.0
2002-10-01,2002.0,Oct,10,Sweden,1820.0
2002-10-01,2002.0,Oct,10,Switzerland,89.0
2002-10-01,2002.0,Oct,10,UK,5086.0
2002-10-01,2002.0,Oct,10,USA,3089.0
2002-11-01,2002.0,Nov,11,Canada,118.0
2002-11-01,2002.0,Nov,11,Denmark,1155.0
2002-11-01,2002.0,Nov,11,Finland,296.0
2002-11-01,2002.0,Nov,11,France,530.0
2002-11-01,2002.0,Nov,11,Germany,503.0
2002-11-01,2002.0,Nov,11,Italy,129.0
2002-11-01,2002.0,Nov,11,Japan,93.0
2002-11-01,2002.0,Nov,11,Netherlands,385.0
2002-11-01,2002.0,Nov,11,Norway,1349.0
2002-11-01,2002.0,Nov,11,Other,1162.0
2002-11-01,2002.0,Nov,11,Spain,56.0
2002-11-01,2002.0,Nov,11,Sweden,1410.0
2002-11-01,2002.0,Nov,11,Switzerland,56.0
2002-11-01,2002.0,Nov,11,UK,2780.0
2002-11-01,2002.0,Nov,11,USA,2384.0
2002-12-01,2002.0,Dec,12,Canada,96.0
2002-12-01,2002.0,Dec,12,Denmark,855.0
2002-12-01,2002.0,Dec,12,Finland,212.0
2002-12-01,2002.0,Dec,12,France,358.0
2002-12-01,2002.0,Dec,12,Germany,654.0
2002-12-01,2002.0,Dec,12,Italy,104.0
2002-12-01,2002.0,Dec,12,Japan,169.0
2002-12-01,2002.0,Dec,12,Netherlands,286.0
2002-12-01,2002.0,Dec,12,Norway,1102.0
2002-12-01,2002.0,Dec,12,Other,1745.0
2002-12-01,2002.0,Dec,12,Spain,107.0
2002-12-01,2002.0,Dec,12,Sweden,1242.0
2002-12-01,2002.0,Dec,12,Switzerland,79.0
2002-12-01,2002.0,Dec,12,UK,1816.0
2002-12-01,2002.0,Dec,12,USA,1767.0
2003-01-01,2003.0,Jan,1,Canada,125.0
2003-01-01,2003.0,Jan,1,Denmark,763.0
2003-01-01,2003.0,Jan,1,Finland,194.0
2003-01-01,2003.0,Jan,1,France,412.0
2003-01-01,2003.0,Jan,1,Germany,784.0
2003-01-01,2003.0,Jan,1,Italy,222.0
2003-01-01,2003.0,Jan,1,Japan,385.0
2003-01-01,2003.0,Jan,1,Netherlands,294.0
2003-01-01,2003.0,Jan,1,Norway,1075.0
2003-01-01,2003.0,Jan,1,Other,1863.0
