Dagsetning;Gengisvísitala  -  ;
08.05.2017;156,2167;
05.05.2017;156,0173;
04.05.2017;156,1469;
03.05.2017;155,9867;
02.05.2017;155,8187;
28.04.2017;156,2061;
27.04.2017;156,6169;
26.04.2017;156,1538;
25.04.2017;157,7561;
24.04.2017;158,1085;
21.04.2017;159,3880;
19.04.2017;160,4633;
18.04.2017;161,0805;
12.04.2017;161,4524;
11.04.2017;161,9843;
10.04.2017;161,9839;
07.04.2017;162,2933;
06.04.2017;162,7624;
05.04.2017;162,8486;
04.04.2017;165,2819;
03.04.2017;164,2500;
31.03.2017;163,7869;
30.03.2017;163,5177;
29.03.2017;161,9445;
28.03.2017;160,8129;
27.03.2017;160,9851;
24.03.2017;161,1028;
23.03.2017;162,4076;
22.03.2017;161,4498;
21.03.2017;159,8144;
20.03.2017;157,6340;
17.03.2017;158,1090;
16.03.2017;159,4008;
15.03.2017;157,7416;
14.03.2017;161,3522;
13.03.2017;160,1436;
10.03.2017;155,7746;
09.03.2017;156,2095;
08.03.2017;156,4907;
07.03.2017;155,5760;
06.03.2017;153,7518;
03.03.2017;153,8970;
02.03.2017;154,8092;
01.03.2017;153,2574;
28.02.2017;154,2908;
27.02.2017;155,4651;
24.02.2017;156,9487;
23.02.2017;157,9588;
22.02.2017;158,6580;
21.02.2017;159,5993;
20.02.2017;159,6107;
17.02.2017;160,0980;
16.02.2017;160,5358;
15.02.2017;161,3075;
14.02.2017;162,8399;
13.02.2017;164,1229;
10.02.2017;164,2824;
09.02.2017;164,7334;
08.02.2017;164,3422;
07.02.2017;165,2754;
06.02.2017;165,0648;
03.02.2017;165,5731;
02.02.2017;165,4831;
01.02.2017;168,6545;
31.01.2017;168,8595;
30.01.2017;169,1576;
27.01.2017;169,1187;
26.01.2017;168,9391;
25.01.2017;168,2756;
24.01.2017;167,3224;
23.01.2017;163,9824;
20.01.2017;164,0649;
19.01.2017;163,3824;
18.01.2017;162,9761;
17.01.2017;163,3797;
16.01.2017;164,3129;
13.01.2017;164,8056;
12.01.2017;164,7524;
11.01.2017;166,6873;
10.01.2017;164,0669;
09.01.2017;163,1307;
06.01.2017;162,9876;
05.01.2017;161,9452;
04.01.2017;161,7677;
03.01.2017;162,2929;
02.01.2017;162,1459;
30.12.2016;161,6682;
29.12.2016;162,9465;
28.12.2016;161,5832;
27.12.2016;161,5182;
23.12.2016;161,4886;
22.12.2016;161,1930;
21.12.2016;161,6567;
20.12.2016;161,7402;
19.12.2016;162,2188;
16.12.2016;162,3177;
15.12.2016;162,1566;
14.12.2016;161,7318;
13.12.2016;161,1925;
12.12.2016;161,0399;
09.12.2016;160,6034;
08.12.2016;160,2433;
07.12.2016;160,2551;
06.12.2016;159,9941;
05.12.2016;160,9905;
02.12.2016;160,7970;
01.12.2016;161,5671;
30.11.2016;161,1258;
29.11.2016;162,0232;
28.11.2016;161,9804;
25.11.2016;162,3096;
24.11.2016;162,3994;
23.11.2016;162,7638;
22.11.2016;163,0296;
21.11.2016;162,8567;
18.11.2016;163,0462;
17.11.2016;163,1695;
16.11.2016;163,4014;
15.11.2016;163,3522;
14.11.2016;163,6801;
11.11.2016;163,9478;
10.11.2016;164,0800;
09.11.2016;163,2372;
08.11.2016;164,1471;
07.11.2016;164,0474;
04.11.2016;164,2666;
03.11.2016;164,7710;
02.11.2016;164,3133;
01.11.2016;165,1927;
31.10.2016;165,5717;
28.10.2016;166,4070;
27.10.2016;166,9026;
26.10.2016;167,1186;
25.10.2016;167,8968;
24.10.2016;167,8803;
21.10.2016;168,2161;
20.10.2016;168,1768;
19.10.2016;168,1157;
18.10.2016;168,7964;
17.10.2016;168,4600;
14.10.2016;168,6279;
13.10.2016;168,7506;
12.10.2016;169,2775;
11.10.2016;169,5701;
10.10.2016;169,7819;
07.10.2016;170,1551;
06.10.2016;170,4574;
05.10.2016;170,6308;
04.10.2016;170,8509;
03.10.2016;171,3093;
30.09.2016;171,5563;
29.09.2016;171,7659;
28.09.2016;171,5704;
27.09.2016;171,4210;
26.09.2016;171,4689;
23.09.2016;172,1482;
22.09.2016;171,7167;
21.09.2016;171,5248;
20.09.2016;172,0237;
19.09.2016;172,1865;
